mem=76.7148 MB
all [41.097 s, 100%]
|     |     |     convdiffmulti-finish:00:dir-finish [0.011056 s, 0.0269%]
|     |     |     convdiffmulti-finish:01:dir-finish [0.012177 s, 0.0296%]
|     |     |     convdiffmulti-finish:02:dir-finish [0.011099 s, 0.027%]
|     |     |     convdiffmulti-finish:03:tovect [0.0079946 s, 0.0195%]
|     run:12:as-steps [18.069 s, 44%]
|     |     steps:01:start [0.023588 s, 0.0574%]
|     |     |     start:00:rotate [0.014987 s, 0.0365%]
|     |     |     start:01:reconst [0.0086004 s, 0.0209%]
|     |     steps:02:iter [18.017 s, 43.8%]
|     |     |     iter:00:init [0.010439 s, 0.0254%]
|     |     |     iter:01:adv [0.082053 s, 0.2%]
|     |     |     iter:02:reconst [0.41324 s, 1.01%]
|     |     |     |     reconst:00:bc-zero [0.10679 s, 0.26%]
|     |     |     |     reconst:01:height [0.30646 s, 0.746%]
|     |     |     iter:03:adv [0.084687 s, 0.206%]
|     |     |     iter:04:reconst [0.40511 s, 0.986%]
|     |     |     |     reconst:00:bc-zero [0.10663 s, 0.259%]
|     |     |     |     reconst:01:height [0.29849 s, 0.726%]
|     |     |     iter:05:adv [0.081798 s, 0.199%]
|     |     |     iter:06:reconst [0.40398 s, 0.983%]
|     |     |     |     reconst:00:bc-zero [0.10516 s, 0.256%]
|     |     |     |     reconst:01:height [0.29882 s, 0.727%]
|     |     |     iter:07:adv [0.083659 s, 0.204%]
|     |     |     iter:08:reconst [0.40379 s, 0.983%]
|     |     |     |     reconst:00:bc-zero [0.10626 s, 0.259%]
|     |     |     |     reconst:01:height [0.29753 s, 0.724%]
|     |     |     iter:09:adv [0.080598 s, 0.196%]
|     |     |     iter:10:reconst [0.40349 s, 0.982%]
|     |     |     |     reconst:00:bc-zero [0.1082 s, 0.263%]
|     |     |     |     reconst:01:height [0.29529 s, 0.719%]
|     |     |     iter:11:adv [0.082264 s, 0.2%]
|     |     |     iter:12:reconst [0.40251 s, 0.979%]
|     |     |     |     reconst:00:bc-zero [0.10924 s, 0.266%]
|     |     |     |     reconst:01:height [0.29327 s, 0.714%]
|     |     |     iter:13:curvcomm [0.056527 s, 0.138%]
|     |     |     iter:14:part-comm [0.22041 s, 0.536%]
|     |     |     iter:15:part-run [14.672 s, 35.7%]
|     |     |     iter:16:part-nan [0.098129 s, 0.239%]
|     |     |     iter:17:stat [0.032669 s, 0.0795%]
|     |     steps:03:finish [0.012361 s, 0.0301%]
|     |     steps:04:report [0.0082969 s, 0.0202%]
|     |     steps:05:convcheck [0.0080292 s, 0.0195%]
|     run:13:color [0.1742 s, 0.424%]
|     |     upd:00: [0.1742 s, 0.424%]
|     run:14:dt [0.12017 s, 0.292%]
|     |     dt:00:local [0.11124 s, 0.271%]
|     |     dt:01:reduce [0.0089348 s, 0.0217%]
|     run:15:fields [0.0091583 s, 0.0223%]
|     run:16:trajdump [0.0088821 s, 0.0216%]
|     run:17:dmptrep [0.0083731 s, 0.0204%]
|     run:18:dumpstat [0.012173 s, 0.0296%]
|     run:19:inc [0.0078797 s, 0.0192%]
