t,r
38.9,0.425908
39,0.426907
39.1,0.427836
39.2,0.428659
39.3,0.429352
39.4,0.429905
39.5,0.430358
39.6,0.430758
39.7,0.431148
39.8,0.431573
39.9,0.432086
40,0.432705
40.1,0.433385
40.2,0.434058
40.3,0.43466
40.4,0.435144
40.5,0.435546
40.6,0.435942
40.7,0.436412
40.8,0.43709
40.9,0.43828
41,0.440091
41.1,0.441816
41.2,0.442997
41.3,0.443821
41.4,0.444416
41.5,0.444831
41.6,0.445088
41.7,0.445202
41.8,0.445234
41.9,0.44525
42,0.445321
42.1,0.44553
42.2,0.445982
42.3,0.446692
42.4,0.447549
42.5,0.448413
42.6,0.449152
42.7,0.449697
42.8,0.450105
42.9,0.450458
43,0.450828
43.1,0.451293
43.2,0.451979
43.3,0.452978
43.4,0.454154
43.5,0.455235
43.6,0.456005
43.7,0.456461
43.8,0.456754
43.9,0.45699
44,0.457244
44.1,0.457594
44.2,0.45813
44.3,0.458858
44.4,0.459702
44.5,0.460548
44.6,0.461278
44.7,0.461805
44.8,0.462153
44.9,0.462365
45,0.462479
45.1,0.462523
45.2,0.462524
45.3,0.462507
45.4,0.462503
45.5,0.462542
45.6,0.462658
45.7,0.462909
45.8,0.463396
45.9,0.464201
46,0.46522
46.1,0.466192
46.2,0.466894
46.3,0.467333
46.4,0.467638
46.5,0.467891
46.6,0.468152
46.7,0.46848
46.8,0.468942
46.9,0.469538
47,0.470223
47.1,0.470926
47.2,0.471572
47.3,0.472121
47.4,0.472636
47.5,0.473194
47.6,0.473877
47.7,0.474795
47.8,0.475991
47.9,0.477247
48,0.47826
48.1,0.478774
48.2,0.478735
48.3,0.478384
48.4,0.477946
48.5,0.477612
48.6,0.477589
48.7,0.478041
48.8,0.478943
48.9,0.480222
49,0.481767
49.1,0.483427
49.2,0.485044
49.3,0.486468
49.4,0.487603
49.5,0.488443
49.6,0.489027
49.7,0.489393
49.8,0.489572
49.9,0.489595
50,0.489518
50.1,0.489406
50.2,0.489312
50.3,0.489297
50.4,0.489442
50.5,0.489894
50.6,0.490769
50.7,0.491965
50.8,0.493171
50.9,0.494084
51,0.49468
51.1,0.495073
51.2,0.495332
51.3,0.495499
51.4,0.495603
51.5,0.495669
51.6,0.495719
51.7,0.495782
51.8,0.495887
51.9,0.496073
52,0.496384
52.1,0.49683
52.2,0.497366
52.3,0.49793
52.4,0.498465
52.5,0.498928
52.6,0.499339
52.7,0.499735
52.8,0.500152
52.9,0.500624
53,0.501192
53.1,0.501881
53.2,0.502659
53.3,0.503471
53.4,0.504252
53.5,0.50494
53.6,0.505536
53.7,0.5061
53.8,0.506694
53.9,0.507376
54,0.5082
54.1,0.509116
54.2,0.510002
54.3,0.510736
54.4,0.511206
54.5,0.51134
54.6,0.511244
54.7,0.511079
54.8,0.511013
54.9,0.511258
55,0.512027
55.1,0.513179
55.2,0.514385
55.3,0.515334
55.4,0.515881
55.5,0.516151
55.6,0.516285
55.7,0.516382
55.8,0.516522
55.9,0.516778
56,0.517181
56.1,0.517703
56.2,0.518314
56.3,0.518979
56.4,0.51966
56.5,0.520313
56.6,0.520906
56.7,0.521412
56.8,0.521816
56.9,0.522115
57,0.52233
57.1,0.522504
57.2,0.522678
57.3,0.522888
57.4,0.52318
57.5,0.523617
57.6,0.524227
57.7,0.524995
57.8,0.525873
57.9,0.526779
58,0.52763
58.1,0.52837
58.2,0.528971
58.3,0.529429
58.4,0.529778
58.5,0.530076
58.6,0.530362
58.7,0.530676
58.8,0.531057
58.9,0.531554
59,0.532161
59.1,0.532837
59.2,0.533524
59.3,0.534169
59.4,0.534737
59.5,0.535213
59.6,0.535584
59.7,0.535826
59.8,0.53591
59.9,0.535794
60,0.535507
60.1,0.535143
60.2,0.534822
60.3,0.534684
60.4,0.534845
60.5,0.535267
60.6,0.535849
60.7,0.536498
60.8,0.537135
60.9,0.537716
61,0.538258
61.1,0.538786
61.2,0.539322
61.3,0.539891
61.4,0.540522
61.5,0.541204
61.6,0.541888
61.7,0.542517
61.8,0.543039
61.9,0.54343
62,0.543716
62.1,0.54393
62.2,0.544096
62.3,0.544234
62.4,0.544362
62.5,0.544489
62.6,0.544611
62.7,0.544723
62.8,0.544822
62.9,0.544904
63,0.544974
63.1,0.54506
63.2,0.545194
63.3,0.545424
63.4,0.545837
63.5,0.546672
63.6,0.548288
63.7,0.550242
63.8,0.551748
63.9,0.552846
64,0.553614
64.1,0.554031
64.2,0.554011
64.3,0.553392
64.4,0.552235
64.5,0.550895
64.6,0.549896
64.7,0.549745
64.8,0.550426
64.9,0.551611
65,0.553017
65.1,0.554365
65.2,0.555469
65.3,0.556338
65.4,0.55703
65.5,0.557608
65.6,0.558121
65.7,0.558591
65.8,0.559029
65.9,0.559441
66,0.559832
66.1,0.560206
66.2,0.560563
66.3,0.560905
66.4,0.56123
66.5,0.561537
66.6,0.561825
66.7,0.56208
66.8,0.562272
66.9,0.562376
67,0.562376
67.1,0.562274
67.2,0.562116
67.3,0.561971
67.4,0.561905
67.5,0.561997
67.6,0.56237
67.7,0.563186
67.8,0.564358
67.9,0.565563
68,0.566457
68.1,0.566927
68.2,0.567141
68.3,0.567249
68.4,0.567356
68.5,0.567554
68.6,0.567956
68.7,0.568614
68.8,0.569449
68.9,0.570336
69,0.571122
69.1,0.571676
69.2,0.572028
69.3,0.572297
69.4,0.572598
69.5,0.57305
69.6,0.573768
69.7,0.574639
69.8,0.575436
69.9,0.575977
70,0.576166
70.1,0.576013
70.2,0.575657
70.3,0.575215
70.4,0.574776
70.5,0.57444
70.6,0.574349
70.7,0.574716
70.8,0.575621
70.9,0.576933
71,0.578296
71.1,0.579368
71.2,0.580155
71.3,0.580748
71.4,0.581203
71.5,0.581562
71.6,0.581854
71.7,0.582097
71.8,0.582307
71.9,0.582499
72,0.582686
72.1,0.582882
72.2,0.5831
72.3,0.583362
72.4,0.583687
72.5,0.584105
72.6,0.584657
72.7,0.585367
72.8,0.586141
72.9,0.58684
73,0.587359
73.1,0.587652
73.2,0.587762
73.3,0.587783
73.4,0.587781
73.5,0.587815
73.6,0.587956
73.7,0.588323
73.8,0.589033
73.9,0.589978
74,0.590821
74.1,0.591197
74.2,0.591061
74.3,0.590682
74.4,0.590261
74.5,0.589973
74.6,0.590053
74.7,0.59076
74.8,0.592152
74.9,0.594088
74.9334,0.594795
